-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,sum,Mode,Median,Average,var,rank1,rank2,rank3,rank4,rank5
1,,,1,,1,2,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,7,1,1,1.4,0.3,1,1,1,2,2
12,,,,,,1,,,,,,,,3,1,,,,1,,,,,,,1,,,,,,,,,7,1,1,1.4,0.8,1,1,1,1,3
17,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,,1,,,,2,,,7,1,1,1.4,0.3,1,1,1,2,2
24,,1,,,,,4,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,8,1,1,1.6,1.8,1,1,1,1,4
13,,,,,,,1,,,,,,,,,,,1,2,,,,,,,3,,,,,,,,2,9,1,2,1.8,0.7,1,1,2,2,3
16,,,2,,,,,,,1,3,,,,,2,,,,,,,,,,,,,,,,1,,,9,2,2,1.8,0.7,1,1,2,2,3
14,,,,,,,,,,,1,,,,,,,,,3,,,,1,4,,,,,2,,,,,11,1,2,2.2,1.7,1,2,3,4,5
2,,,,,,,,1,,,,4,2,,,,,,,,,,,,1,,,,,,,,,4,12,1,2,2.4,2.3,1,1,2,4,4
5,,,,,,,2,,3,,,2,,,,,,,,,,,,,,,1,4,,,,,,,12,2,2,2.4,1.3,1,2,2,3,4
15,,3,,,4,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,1,,12,2,2,2.4,1.3,1,2,2,3,4
29,,,,,,,3,,,,,,,,,,,,,,,4,,,3,,,,1,,1,,,,12,3,3,2.4,1.8,1,1,3,3,4
31,1,,,,3,,,,2,,,,,,,,,,,1,,,5,,,,,,,,,,,,12,1,2,2.4,2.8,1,1,2,3,5
3,,,3,,,,,,1,,2,,,,,,,,,,,5,,,2,,,,,,,,,,13,2,2,2.6,2.3,1,2,2,3,5
10,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,5,3,,,,2,,13,2,2,2.6,2.3,1,2,2,3,5
23,,,,,,,,,,,,,,,3,,,,,,,2,,,,,2,,,,3,3,,,13,3,3,2.6,0.3,2,2,3,3,3
0,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,3,2,,4,,,,14,4,4,2.8,1.7,1,2,3,4,4
8,,4,,1,,,,,,,,,,,,,,,,,3,,2,,,,,,,4,,,,,14,4,4,2.8,1.7,1,2,3,4,4
27,,2,,,,,,,,,,3,,,,3,,,,,2,,,4,,,,,,,,,,,14,2,3,2.8,0.7,2,2,3,3,4
7,,,4,,2,4,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,16,4,4,3.2,0.7,2,3,3,4,4
9,3,,,,,,,,,,,,3,,,,,,,4,,,,2,,4,,,,,,,,,16,3,3,3.2,0.7,2,3,3,4,4
19,,,,4,,,,,,,4,,,,,,4,,,,,,,,,,3,,,,,,,1,16,4,4,3.2,1.7,1,3,4,4,4
30,,,,,,,5,,,2,,,5,,,,,3,,,,1,,,,,,,,,,,,,16,5,5,3.2,3.2,1,2,3,5,5
11,,,,,,,,4,,,,,,,2,,,,,,,,,,,5,,,,3,,,3,,17,3,3,3.4,1.3,2,3,3,4,5
20,2,,,,,,,,,,,,4,,,4,,,4,,,,,,,,,,,,,,4,,18,4,4,3.6,0.8,2,4,4,4,4
4,,,,,,,,,,3,,,,,,,,4,,5,,3,,,,,,,5,,,,,,20,3,4,4,1,3,3,4,5,5
6,,,,2,,,,,,,,,,5,,,,,,,,,,,5,,5,,,,,,,3,20,5,5,4,2,2,3,5,5,5
22,,,,3,,,,3,,5,,5,,,4,,,,,,,,,,,,,,,,,,,,20,3,4,4,1,3,3,4,5,5
26,5,,5,,,3,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,,20,5,5,4,2,2,3,5,5,5
28,,5,,,,,,,,,5,,,,,,,,5,,,,,3,,,,,,,2,,,,20,5,5,4,2,2,3,5,5,5
32,,,,5,5,,,,,,,,,2,,,3,,,,,,,5,,,,,,,,,,,20,5,5,4,2,2,3,5,5,5
25,4,,,,,,,,5,,,,,4,,,5,,,,4,,,,,,,,,,,,,,22,4,4,4.4,0.3,4,4,4,5,5
33,,,,,,,,,,,,,,,,5,,5,,,,,,,,,4,,4,,,4,,,22,4,4,4.4,0.3,4,4,4,5,5
21,,,,,,,,5,,4,,,,,5,,,,,,,,4,,,,,,,,,,5,,23,5,5,4.6,0.3,4,4,5,5,5
18,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,5,5,,5,25,5,5,5,0,5,5,5,5,5
